run,Episode Length,loss,Returns,mean wip,monthly mean throughput,Agent releases,PSP length,EA %,TA %,TI %
3552,2502,40688.57421875,-1.0636291442947403,0.5635883111503951,0.174,1.675041876046901,497,86.20689655172413,13.793103448275861,0.0
3553,2502,10340.4248046875,-0.9449057414694826,0.6029648226656424,0.30600000000000005,5.192629815745393,431,54.90196078431373,45.09803921568628,0.0
3554,2502,116.02948760986328,-0.9691118758829596,0.7540241770937833,0.216,1.675041876046901,478,86.11111111111111,13.88888888888889,0.0
3555,2502,5476.99169921875,-0.9633201386747863,0.45755984473915046,0.24,3.8525963149078724,440,57.49999999999999,42.5,0.0
3556,2502,2717.25341796875,-0.8428322938319043,1.7902493183371841,0.32999999999999996,4.857621440536013,450,60.0,40.0,0.0
3557,2502,2527.358154296875,-0.9448086768886044,0.20826482330716956,0.162,1.675041876046901,487,85.18518518518519,14.814814814814813,0.0
3558,2502,546.6883544921875,-0.9206725574708031,0.8559577855321826,0.396,6.700167504187604,398,48.484848484848484,50.0,0.0
3559,2502,421.5143737792969,-0.8211930863701513,2.826695702110423,0.318,3.5175879396984926,421,67.9245283018868,32.075471698113205,0.0
3560,2502,54.98380661010742,-0.8130807516297991,0.2963266151363989,0.24600000000000002,4.355108877721943,430,46.34146341463415,51.21951219512195,2.4390243902439024
3561,2502,4395.8876953125,-0.8252272401323152,0.5060279181395937,0.372,6.867671691792294,436,45.16129032258064,54.83870967741935,0.0
3562,2502,6962.34130859375,-0.8515041444125231,1.6569848404553755,0.318,3.6850921273031827,441,71.69811320754717,28.30188679245283,0.0
3563,2502,834.1878051757812,-0.8543981839816972,0.3460170942914836,0.228,3.015075376884422,476,63.1578947368421,36.84210526315789,0.0
3564,2502,7016.11279296875,-0.9631150091401713,0.29509498479517404,0.186,2.1775544388609713,476,67.74193548387096,32.25806451612903,0.0
3565,2502,17102.3125,-0.9156353983424418,0.3037597977507452,0.18,2.680067001675042,452,70.0,26.666666666666668,3.3333333333333335
3566,2502,11910.267578125,-0.6984811013045905,0.4332372955681798,0.30600000000000005,5.360134003350084,428,49.01960784313725,50.98039215686274,0.0
3567,2502,441.3870849609375,-0.8582715739972869,1.9924856518792942,0.26999999999999996,2.512562814070352,439,82.22222222222221,17.77777777777778,0.0
3568,2502,10525.6220703125,-0.8291504704593257,0.6387237709933778,0.36,7.202680067001675,412,38.333333333333336,61.66666666666667,0.0
3569,2502,24973.283203125,-0.6739258009412179,0.8001283786664327,0.432,8.375209380234507,407,37.5,61.111111111111114,1.3888888888888888
3570,2502,34450.23046875,-0.8620357003598282,0.21447492525717907,0.198,3.1825795644891124,441,66.66666666666666,33.33333333333333,0.0
3571,2502,10940.5703125,-0.8079852871698162,1.9647200674864878,0.372,6.030150753768844,436,51.61290322580645,48.38709677419355,0.0
3572,2502,127.15357208251953,-0.8732713600675616,0.268420951352703,0.198,2.680067001675042,462,63.63636363636363,36.36363636363637,0.0
3573,2502,33194.77734375,-0.7407229875959892,0.9203640603805449,0.342,6.365159128978225,433,43.859649122807014,56.14035087719298,0.0
3574,2502,87664.3359375,-0.9682828040687044,1.7909193657819455,0.24600000000000002,1.340033500837521,473,92.6829268292683,7.317073170731707,0.0
3575,2502,96502.6171875,-0.9922933339307471,0.3364300501544716,0.252,4.1876046901172534,469,57.14285714285714,40.476190476190474,2.380952380952381
3576,2502,71501.6953125,-0.9057928646960332,0.6163341594764987,0.228,2.1775544388609713,469,89.47368421052632,10.526315789473683,0.0
3577,2502,25834.552734375,-0.935966089876326,0.45946195942844287,0.276,3.6850921273031827,450,71.73913043478261,26.08695652173913,2.1739130434782608
3578,2502,254.84622192382812,-0.8535079448187495,0.8218744987084643,0.276,3.6850921273031827,442,69.56521739130434,30.434782608695656,0.0
3579,2502,48774.66015625,-0.9400653750518121,0.9266546956095759,0.26999999999999996,3.015075376884422,487,82.22222222222221,17.77777777777778,0.0
3580,2502,100894.0546875,-0.9464249695889125,0.3779338864386535,0.24600000000000002,4.0201005025125625,466,56.09756097560976,41.46341463414634,2.4390243902439024
3581,2502,157020.9375,-0.9834189309895158,0.549751997155163,0.198,2.1775544388609713,495,81.81818181818183,18.181818181818183,0.0
3582,2502,113404.75,-0.762639230091822,0.4329304233928703,0.276,4.690117252931323,464,58.69565217391305,41.30434782608695,0.0
3583,2502,45044.48046875,-0.7426228723613152,2.154276584991308,0.504,9.547738693467336,386,40.476190476190474,59.523809523809526,0.0
3584,2502,5378.32421875,-0.7338441897817002,1.0172257077490054,0.7140000000000001,17.587939698492463,316,15.966386554621847,83.19327731092437,0.8403361344537815
3585,2502,7087.041015625,-0.8785401682236083,1.9574749583490505,0.28200000000000003,2.8475711892797317,435,78.72340425531915,21.27659574468085,0.0
3586,2502,32733.787109375,-0.8524722704968228,1.0545521565998055,0.24600000000000002,2.8475711892797317,445,75.60975609756098,24.390243902439025,0.0
3587,2502,39685.01953125,-0.7542492504806003,0.4340762936763419,0.3,5.527638190954774,432,48.0,48.0,4.0
3588,2502,31957.583984375,-0.7920074339120088,0.7913689529900512,0.3,4.690117252931323,428,68.0,32.0,0.0
3589,2502,7952.05908203125,-0.8267578848540083,0.35023706543286076,0.24,3.6850921273031827,443,57.49999999999999,42.5,0.0
3590,2502,6047.251953125,-0.8848669470668953,1.1615003360746732,0.26999999999999996,3.8525963149078724,468,64.44444444444444,33.33333333333333,2.2222222222222223
