run,Episode Length,loss,exploration,Returns,mean wip,monthly mean throughput,Agent releases,PSP length,EA %,TA %,TI %
543,5002,0.0012529057787376587,0.5089473191733964,-17.691032892737248,4.52836135598963,3.696,49.09983633387889,315,7.305194805194805,92.6948051948052,0.0
544,5002,0.0002484082273224885,0.5083175269104523,-23.105720445219116,3.8857344253321524,3.708,48.854337152209496,359,5.016181229773463,94.8220064724919,0.0
545,5002,0.0001378533027620506,0.5076885217105193,-18.998318416207745,4.983321555943831,4.068,53.60065466448445,300,9.43952802359882,90.11799410029498,0.2949852507374631
546,5002,0.0006926820956226948,0.5070603025899902,-17.551144218855956,3.9275818935560443,3.786,50.327332242225864,315,12.836767036450079,86.6877971473851,0.4754358161648178
547,5002,0.0003586728912457147,0.5064328685664871,-19.283419749244484,3.2352071401789217,3.684,48.772504091653026,319,8.794788273615636,91.04234527687296,0.16286644951140067
548,5002,0.0008018156199510486,0.5058062186588598,-19.117723001857318,3.98278920884015,3.81,50.163666121112925,312,7.4015748031496065,92.28346456692913,0.31496062992125984
549,5002,0.000249481051562816,0.5051803518871841,-21.918055284728496,4.740393621776462,3.738,49.263502454991816,332,5.9390048154093105,94.0609951845907,0.0
550,5002,0.00025771767347541755,0.5045552672727607,-22.74168733464565,2.823664554602382,3.5999999999999996,47.708674304418984,370,12.833333333333332,87.0,0.16666666666666669
551,5002,0.0005928910263399302,0.5039309638381132,-24.58801084932638,3.2348510589105333,3.57,47.13584288052373,376,5.714285714285714,94.11764705882352,0.16806722689075632
552,5002,0.0003739008401749743,0.5033074406069867,-23.609612922794557,5.089771044370623,3.7439999999999998,48.608837970540094,375,6.089743589743589,93.42948717948718,0.3205128205128205
553,5002,0.0007047762634401806,0.5026846966043467,-15.919657893443109,6.093834538029311,4.2780000000000005,55.97381342062193,290,11.079943899018232,88.77980364656382,0.1402524544179523
554,5002,0.0002560575875613722,0.5020627308563769,-18.9675213878903,4.260988238412286,3.7920000000000003,49.42716857610475,316,7.120253164556963,92.87974683544303,0.0
555,5002,0.0005997997885126096,0.5014415423904779,-19.01741891178252,5.1414041415422504,4.032,53.84615384615385,299,8.333333333333332,91.51785714285714,0.1488095238095238
556,5002,0.0006633236759381361,0.5008211302352661,-19.528150660851235,4.130070134417821,3.984,52.864157119476275,336,6.475903614457831,93.37349397590361,0.0
557,5002,0.0005431291952338597,0.5002014934205717,-22.034952752334053,4.31814879472436,3.7319999999999998,48.3633387888707,408,8.038585209003216,91.80064308681672,0.1607717041800643
558,5002,0.0007140454343134479,0.4995826309774374,-23.103429818804525,4.125659699532447,3.7560000000000002,49.50900163666121,342,8.466453674121405,91.53354632587859,0.0
559,5002,0.0004730848326047635,0.4989645419381167,-23.325173238042424,3.058201543563884,3.324,43.94435351882161,380,6.859205776173286,93.14079422382672,0.0
560,5002,0.0005801746301812272,0.4983472253360726,-20.593073069088156,5.8369185240621,3.894,52.12765957446809,316,16.640986132511557,82.43451463790447,0.7704160246533128
